BuildingType,Percentage
Agricultural,0.006825566385133635
Apartment/Condo/Townhome,42.86777066799144
Cemetary,0.025877013583363775
County Government,0.009401448580898352
Government,0.024140639552615497
Hotel/Lodging,0.005377718970105288
Local Government,0.29933245891228905
Other,0.015121575643153203
Religious,0.019251330094662625
Single Family Home,56.414203038995225
State Government,0.013181842491686652
Unknown,0.29951669879943554
