year_blt,cumulative_units,summit_population,us_population,us_total_housing_units,fed_interest_rate
2021,31661,31.235,332099760.0,141945.0,0.08
2021,31661,31.235,332099760.0,141945.0,0.1
2021,31661,31.235,332099760.0,141945.0,0.09
2021,31661,31.235,332099760.0,141945.0,0.08
2021,31661,31.235,332099760.0,141945.0,0.08
2021,31661,31.235,332099760.0,141945.0,0.08
2021,31661,31.235,332099760.0,141945.0,0.08
2021,31661,31.235,332099760.0,142308.0,0.09
2021,31661,31.235,332099760.0,142308.0,0.08
2021,31661,31.235,332099760.0,142308.0,0.07
2021,31661,31.235,332099760.0,142308.0,0.07
2021,31661,31.235,332099760.0,142308.0,0.06
2021,31661,31.235,332099760.0,142308.0,0.08
2021,31661,31.235,332099760.0,142308.0,0.1
2021,31661,31.235,332099760.0,142308.0,0.09
2021,31661,31.235,332099760.0,142308.0,0.08
2021,31661,31.235,332099760.0,142308.0,0.08
2021,31661,31.235,332099760.0,142308.0,0.08
2021,31661,31.235,332099760.0,142308.0,0.08
2021,31661,31.235,332099760.0,142714.0,0.09
2021,31661,31.235,332099760.0,142714.0,0.08
2021,31661,31.235,332099760.0,142714.0,0.07
2021,31661,31.235,332099760.0,142714.0,0.07
2021,31661,31.235,332099760.0,142714.0,0.06
2021,31661,31.235,332099760.0,142714.0,0.08
2021,31661,31.235,332099760.0,142714.0,0.1
2021,31661,31.235,332099760.0,142714.0,0.09
2021,31661,31.235,332099760.0,142714.0,0.08
2021,31661,31.235,332099760.0,142714.0,0.08
2021,31661,31.235,332099760.0,142714.0,0.08
2021,31661,31.235,332099760.0,142714.0,0.08
2022,32007,30.905,334017321.0,143121.0,0.08
2022,32007,30.905,334017321.0,143121.0,0.08
2022,32007,30.905,334017321.0,143121.0,0.2
2022,32007,30.905,334017321.0,143121.0,0.33
2022,32007,30.905,334017321.0,143121.0,0.77
2022,32007,30.905,334017321.0,143121.0,1.21
2022,32007,30.905,334017321.0,143121.0,1.68
2022,32007,30.905,334017321.0,143121.0,2.33
2022,32007,30.905,334017321.0,143121.0,2.56
2022,32007,30.905,334017321.0,143121.0,3.08
2022,32007,30.905,334017321.0,143121.0,3.78
2022,32007,30.905,334017321.0,143121.0,4.1
2022,32007,30.905,334017321.0,143528.0,0.08
2022,32007,30.905,334017321.0,143528.0,0.08
2022,32007,30.905,334017321.0,143528.0,0.2
2022,32007,30.905,334017321.0,143528.0,0.33
2022,32007,30.905,334017321.0,143528.0,0.77
2022,32007,30.905,334017321.0,143528.0,1.21
2022,32007,30.905,334017321.0,143528.0,1.68
2022,32007,30.905,334017321.0,143528.0,2.33
2022,32007,30.905,334017321.0,143528.0,2.56
2022,32007,30.905,334017321.0,143528.0,3.08
2022,32007,30.905,334017321.0,143528.0,3.78
2022,32007,30.905,334017321.0,143528.0,4.1
2022,32007,30.905,334017321.0,143929.0,0.08
2022,32007,30.905,334017321.0,143929.0,0.08
2022,32007,30.905,334017321.0,143929.0,0.2
2022,32007,30.905,334017321.0,143929.0,0.33
2022,32007,30.905,334017321.0,143929.0,0.77
2022,32007,30.905,334017321.0,143929.0,1.21
2022,32007,30.905,334017321.0,143929.0,1.68
2022,32007,30.905,334017321.0,143929.0,2.33
2022,32007,30.905,334017321.0,143929.0,2.56
2022,32007,30.905,334017321.0,143929.0,3.08
2022,32007,30.905,334017321.0,143929.0,3.78
2022,32007,30.905,334017321.0,143929.0,4.1
2022,32007,30.905,334017321.0,144319.0,0.08
2022,32007,30.905,334017321.0,144319.0,0.08
2022,32007,30.905,334017321.0,144319.0,0.2
2022,32007,30.905,334017321.0,144319.0,0.33
2022,32007,30.905,334017321.0,144319.0,0.77
2022,32007,30.905,334017321.0,144319.0,1.21
2022,32007,30.905,334017321.0,144319.0,1.68
2022,32007,30.905,334017321.0,144319.0,2.33
2022,32007,30.905,334017321.0,144319.0,2.56
2022,32007,30.905,334017321.0,144319.0,3.08
2022,32007,30.905,334017321.0,144319.0,3.78
2022,32007,30.905,334017321.0,144319.0,4.1
2023,32564,30.824,336806231.0,144709.0,4.33
2023,32564,30.824,336806231.0,144709.0,4.57
2023,32564,30.824,336806231.0,144709.0,4.65
2023,32564,30.824,336806231.0,144709.0,4.83
2023,32564,30.824,336806231.0,144709.0,5.06
2023,32564,30.824,336806231.0,144709.0,5.08
2023,32564,30.824,336806231.0,144709.0,5.12
2023,32564,30.824,336806231.0,144709.0,5.33
2023,32564,30.824,336806231.0,144709.0,5.33
2023,32564,30.824,336806231.0,144709.0,5.33
2023,32564,30.824,336806231.0,144709.0,5.33
2023,32564,30.824,336806231.0,144709.0,5.33
2023,32564,30.824,336806231.0,145099.0,4.33
2023,32564,30.824,336806231.0,145099.0,4.57
2023,32564,30.824,336806231.0,145099.0,4.65
2023,32564,30.824,336806231.0,145099.0,4.83
2023,32564,30.824,336806231.0,145099.0,5.06
2023,32564,30.824,336806231.0,145099.0,5.08
2023,32564,30.824,336806231.0,145099.0,5.12
2023,32564,30.824,336806231.0,145099.0,5.33
2023,32564,30.824,336806231.0,145099.0,5.33
2023,32564,30.824,336806231.0,145099.0,5.33
2023,32564,30.824,336806231.0,145099.0,5.33
2023,32564,30.824,336806231.0,145099.0,5.33
2023,32564,30.824,336806231.0,145477.0,4.33
2023,32564,30.824,336806231.0,145477.0,4.57
2023,32564,30.824,336806231.0,145477.0,4.65
2023,32564,30.824,336806231.0,145477.0,4.83
2023,32564,30.824,336806231.0,145477.0,5.06
2023,32564,30.824,336806231.0,145477.0,5.08
2023,32564,30.824,336806231.0,145477.0,5.12
2023,32564,30.824,336806231.0,145477.0,5.33
2023,32564,30.824,336806231.0,145477.0,5.33
2023,32564,30.824,336806231.0,145477.0,5.33
2023,32564,30.824,336806231.0,145477.0,5.33
2023,32564,30.824,336806231.0,145477.0,5.33
2023,32564,30.824,336806231.0,145830.0,4.33
2023,32564,30.824,336806231.0,145830.0,4.57
2023,32564,30.824,336806231.0,145830.0,4.65
2023,32564,30.824,336806231.0,145830.0,4.83
2023,32564,30.824,336806231.0,145830.0,5.06
2023,32564,30.824,336806231.0,145830.0,5.08
2023,32564,30.824,336806231.0,145830.0,5.12
2023,32564,30.824,336806231.0,145830.0,5.33
2023,32564,30.824,336806231.0,145830.0,5.33
2023,32564,30.824,336806231.0,145830.0,5.33
2023,32564,30.824,336806231.0,145830.0,5.33
2023,32564,30.824,336806231.0,145830.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.33
2024,32750,30.882,340110988.0,146183.0,5.13
2024,32750,30.882,340110988.0,146183.0,4.83
2024,32750,30.882,340110988.0,146183.0,4.64
2024,32750,30.882,340110988.0,146183.0,4.48
2024,32750,30.882,340110988.0,146535.0,5.33
2024,32750,30.882,340110988.0,146535.0,5.33
2024,32750,30.882,340110988.0,146535.0,5.33
2024,32750,30.882,340110988.0,146535.0,5.33
2024,32750,30.882,340110988.0,146535.0,5.33
2024,32750,30.882,340110988.0,146535.0,5.33
2024,32750,30.882,340110988.0,146535.0,5.33
2024,32750,30.882,340110988.0,146535.0,5.33
2024,32750,30.882,340110988.0,146535.0,5.13
2024,32750,30.882,340110988.0,146535.0,4.83
2024,32750,30.882,340110988.0,146535.0,4.64
2024,32750,30.882,340110988.0,146535.0,4.48
2024,32750,30.882,340110988.0,146888.0,5.33
2024,32750,30.882,340110988.0,146888.0,5.33
2024,32750,30.882,340110988.0,146888.0,5.33
2024,32750,30.882,340110988.0,146888.0,5.33
2024,32750,30.882,340110988.0,146888.0,5.33
2024,32750,30.882,340110988.0,146888.0,5.33
2024,32750,30.882,340110988.0,146888.0,5.33
2024,32750,30.882,340110988.0,146888.0,5.33
2024,32750,30.882,340110988.0,146888.0,5.13
2024,32750,30.882,340110988.0,146888.0,4.83
2024,32750,30.882,340110988.0,146888.0,4.64
2024,32750,30.882,340110988.0,146888.0,4.48
2024,32750,30.882,340110988.0,147241.0,5.33
2024,32750,30.882,340110988.0,147241.0,5.33
2024,32750,30.882,340110988.0,147241.0,5.33
2024,32750,30.882,340110988.0,147241.0,5.33
2024,32750,30.882,340110988.0,147241.0,5.33
2024,32750,30.882,340110988.0,147241.0,5.33
2024,32750,30.882,340110988.0,147241.0,5.33
2024,32750,30.882,340110988.0,147241.0,5.33
2024,32750,30.882,340110988.0,147241.0,5.13
2024,32750,30.882,340110988.0,147241.0,4.83
2024,32750,30.882,340110988.0,147241.0,4.64
2024,32750,30.882,340110988.0,147241.0,4.48
