BuildingType,Percentage
Apartment/Condo/Townhome,63.49312977099236
Single Family Home,35.0442748091603
Local Government,0.5709923664122137
Unknown,0.5435114503816795
Other,0.1251908396946565
Cemetary,0.05801526717557252
Government,0.03969465648854962
Religious,0.03358778625954199
State Government,0.03053435114503817
Hotel/Lodging,0.03053435114503817
County Government,0.024427480916030534
Agricultural,0.0061068702290076335
