sfla,BuildingType,LocationType
1469.0,Apartment/Condo/Townhome,In-State (Out of County)
1469.0,Apartment/Condo/Townhome,Out of State
2328.0,Single Family Home,In-County
2474.0,Single Family Home,In-State (Out of County)
1469.0,Apartment/Condo/Townhome,Out of State
1141.0,Apartment/Condo/Townhome,In-County
1833.0,Single Family Home,In-County
1637.0,Single Family Home,In-County
1648.0,Apartment/Condo/Townhome,Out of State
1194.0,Apartment/Condo/Townhome,Out of State
3001.0,Single Family Home,In-County
3373.0,Single Family Home,In-County
2974.0,Single Family Home,In-State (Out of County)
1341.0,Apartment/Condo/Townhome,Out of State
1755.0,Apartment/Condo/Townhome,In-State (Out of County)
1755.0,Apartment/Condo/Townhome,Out of State
1755.0,Apartment/Condo/Townhome,In-State (Out of County)
2689.0,Single Family Home,In-State (Out of County)
1428.0,Single Family Home,Out of State
1636.0,Apartment/Condo/Townhome,In-County
3272.0,Single Family Home,In-State (Out of County)
2652.0,Single Family Home,In-State (Out of County)
1891.0,Apartment/Condo/Townhome,Out of State
1560.0,Apartment/Condo/Townhome,In-County
1469.0,Apartment/Condo/Townhome,In-State (Out of County)
1920.0,Apartment/Condo/Townhome,In-State (Out of County)
1469.0,Apartment/Condo/Townhome,Out of State
1508.0,Apartment/Condo/Townhome,In-State (Out of County)
1568.0,Apartment/Condo/Townhome,Out of State
548.0,Apartment/Condo/Townhome,Out of State
1708.0,Apartment/Condo/Townhome,In-County
1143.0,Apartment/Condo/Townhome,Out of State
1920.0,Apartment/Condo/Townhome,Out of State
1081.0,Apartment/Condo/Townhome,In-County
823.0,Apartment/Condo/Townhome,In-State (Out of County)
1920.0,Apartment/Condo/Townhome,Out of State
1569.0,Apartment/Condo/Townhome,Out of State
1469.0,Apartment/Condo/Townhome,Out of State
2231.0,Single Family Home,In-County
10890.0,Apartment/Condo/Townhome,In-State (Out of County)
1504.0,Apartment/Condo/Townhome,In-County
3638.0,Single Family Home,In-County
1341.0,Apartment/Condo/Townhome,Out of State
2474.0,Single Family Home,Out of State
2109.0,Single Family Home,In-County
2833.0,Single Family Home,In-County
2474.0,Single Family Home,In-County
1145.0,Apartment/Condo/Townhome,In-State (Out of County)
2336.0,Single Family Home,In-County
823.0,Apartment/Condo/Townhome,In-State (Out of County)
1258.0,Apartment/Condo/Townhome,In-County
2571.0,Single Family Home,Out of State
2189.0,Single Family Home,Out of State
552.0,Apartment/Condo/Townhome,Out of State
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,Out of State
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,Out of State
1651.0,Single Family Home,In-State (Out of County)
1026.0,Apartment/Condo/Townhome,In-County
3199.0,Single Family Home,In-County
2034.0,Single Family Home,Out of State
703.0,Apartment/Condo/Townhome,In-State (Out of County)
823.0,Apartment/Condo/Townhome,Out of State
703.0,Apartment/Condo/Townhome,Out of State
823.0,Apartment/Condo/Townhome,In-County
2925.0,Single Family Home,In-County
2490.0,Single Family Home,Out of State
1469.0,Apartment/Condo/Townhome,In-State (Out of County)
1469.0,Apartment/Condo/Townhome,In-State (Out of County)
1469.0,Apartment/Condo/Townhome,Out of State
1141.0,Apartment/Condo/Townhome,In-County
2756.0,Single Family Home,Out of State
2800.0,Single Family Home,Out of State
1156.0,Apartment/Condo/Townhome,In-State (Out of County)
1141.0,Apartment/Condo/Townhome,In-County
2251.0,Apartment/Condo/Townhome,In-State (Out of County)
2592.0,Single Family Home,Out of State
2460.0,Single Family Home,In-State (Out of County)
1026.0,Apartment/Condo/Townhome,In-County
1800.0,Apartment/Condo/Townhome,In-State (Out of County)
2257.0,Single Family Home,In-County
1469.0,Apartment/Condo/Townhome,In-State (Out of County)
1469.0,Apartment/Condo/Townhome,In-State (Out of County)
3065.0,Single Family Home,Out of State
1194.0,Apartment/Condo/Townhome,In-State (Out of County)
1322.0,Single Family Home,In-County
1073.0,Apartment/Condo/Townhome,In-State (Out of County)
1628.0,Apartment/Condo/Townhome,Out of State
1088.0,Apartment/Condo/Townhome,In-State (Out of County)
1088.0,Apartment/Condo/Townhome,Out of State
1920.0,Apartment/Condo/Townhome,Out of State
2279.0,Apartment/Condo/Townhome,Out of State
2566.0,Single Family Home,Out of State
4273.0,Single Family Home,In-State (Out of County)
4508.0,Single Family Home,Out of State
3154.0,Single Family Home,Out of State
2787.0,Single Family Home,In-State (Out of County)
3241.0,Single Family Home,Out of State
2814.0,Single Family Home,Out of State
4369.0,Single Family Home,In-State (Out of County)
3296.0,Single Family Home,Out of State
2048.0,Apartment/Condo/Townhome,Out of State
2243.0,Apartment/Condo/Townhome,In-State (Out of County)
1039.0,Apartment/Condo/Townhome,In-State (Out of County)
1050.0,Apartment/Condo/Townhome,In-County
650.0,Apartment/Condo/Townhome,In-County
655.0,Apartment/Condo/Townhome,Out of State
1059.0,Apartment/Condo/Townhome,In-State (Out of County)
1039.0,Apartment/Condo/Townhome,In-State (Out of County)
1055.0,Apartment/Condo/Townhome,Out of State
645.0,Apartment/Condo/Townhome,Out of State
646.0,Apartment/Condo/Townhome,Out of State
1055.0,Apartment/Condo/Townhome,Out of State
1051.0,Apartment/Condo/Townhome,Out of State
1061.0,Apartment/Condo/Townhome,In-State (Out of County)
1138.0,Apartment/Condo/Townhome,Out of State
1143.0,Apartment/Condo/Townhome,In-County
1055.0,Apartment/Condo/Townhome,In-State (Out of County)
1059.0,Apartment/Condo/Townhome,In-County
1039.0,Apartment/Condo/Townhome,Out of State
1059.0,Apartment/Condo/Townhome,In-State (Out of County)
1136.0,Apartment/Condo/Townhome,Out of State
1142.0,Apartment/Condo/Townhome,Out of State
1043.0,Apartment/Condo/Townhome,In-County
1057.0,Apartment/Condo/Townhome,Out of State
1059.0,Apartment/Condo/Townhome,In-County
1042.0,Apartment/Condo/Townhome,In-State (Out of County)
654.0,Apartment/Condo/Townhome,Out of State
648.0,Apartment/Condo/Townhome,In-County
1039.0,Apartment/Condo/Townhome,In-County
1050.0,Apartment/Condo/Townhome,In-State (Out of County)
1039.0,Apartment/Condo/Townhome,In-State (Out of County)
657.0,Apartment/Condo/Townhome,Out of State
654.0,Apartment/Condo/Townhome,In-State (Out of County)
1055.0,Apartment/Condo/Townhome,Out of State
1039.0,Apartment/Condo/Townhome,In-State (Out of County)
1071.0,Apartment/Condo/Townhome,Out of State
1030.0,Apartment/Condo/Townhome,In-County
1147.0,Apartment/Condo/Townhome,Out of State
1150.0,Apartment/Condo/Townhome,Out of State
1042.0,Apartment/Condo/Townhome,In-State (Out of County)
1041.0,Apartment/Condo/Townhome,In-State (Out of County)
1145.0,Apartment/Condo/Townhome,Out of State
1140.0,Apartment/Condo/Townhome,In-State (Out of County)
1061.0,Apartment/Condo/Townhome,In-County
1036.0,Apartment/Condo/Townhome,Out of State
1059.0,Apartment/Condo/Townhome,In-State (Out of County)
1042.0,Apartment/Condo/Townhome,In-State (Out of County)
654.0,Apartment/Condo/Townhome,In-County
648.0,Apartment/Condo/Townhome,In-State (Out of County)
1039.0,Apartment/Condo/Townhome,Out of State
1039.0,Apartment/Condo/Townhome,Out of State
1055.0,Apartment/Condo/Townhome,In-State (Out of County)
1039.0,Apartment/Condo/Townhome,In-State (Out of County)
654.0,Apartment/Condo/Townhome,In-State (Out of County)
652.0,Apartment/Condo/Townhome,In-State (Out of County)
1055.0,Apartment/Condo/Townhome,Out of State
1039.0,Apartment/Condo/Townhome,In-State (Out of County)
1057.0,Apartment/Condo/Townhome,Out of State
1049.0,Apartment/Condo/Townhome,In-County
1154.0,Apartment/Condo/Townhome,In-County
1064.0,Apartment/Condo/Townhome,In-State (Out of County)
1042.0,Apartment/Condo/Townhome,In-County
1044.0,Apartment/Condo/Townhome,Out of State
1141.0,Apartment/Condo/Townhome,In-State (Out of County)
1140.0,Apartment/Condo/Townhome,In-State (Out of County)
1061.0,Apartment/Condo/Townhome,In-State (Out of County)
1037.0,Apartment/Condo/Townhome,In-County
1504.0,Apartment/Condo/Townhome,Out of State
1257.0,Apartment/Condo/Townhome,Out of State
1218.0,Apartment/Condo/Townhome,Out of State
1141.0,Apartment/Condo/Townhome,In-State (Out of County)
1560.0,Apartment/Condo/Townhome,In-State (Out of County)
1613.0,Apartment/Condo/Townhome,In-State (Out of County)
1057.0,Apartment/Condo/Townhome,In-County
1680.0,Apartment/Condo/Townhome,Out of State
1680.0,Apartment/Condo/Townhome,In-State (Out of County)
1680.0,Apartment/Condo/Townhome,In-State (Out of County)
1680.0,Apartment/Condo/Townhome,In-County
1680.0,Apartment/Condo/Townhome,In-County
1680.0,Apartment/Condo/Townhome,Out of State
1680.0,Apartment/Condo/Townhome,In-County
1680.0,Apartment/Condo/Townhome,In-State (Out of County)
1680.0,Apartment/Condo/Townhome,Out of State
1680.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,Out of State
552.0,Apartment/Condo/Townhome,Out of State
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,Out of State
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,Out of State
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,Out of State
552.0,Apartment/Condo/Townhome,In-County
2387.0,Single Family Home,In-County
2596.0,Single Family Home,In-County
2825.0,Single Family Home,In-State (Out of County)
2420.0,Single Family Home,Out of State
3723.0,Single Family Home,Out of State
3304.0,Single Family Home,Out of State
4875.0,Single Family Home,Out of State
3749.0,Single Family Home,In-County
3376.0,Single Family Home,In-State (Out of County)
3596.0,Single Family Home,In-County
3269.0,Single Family Home,Out of State
3451.0,Single Family Home,Out of State
3812.0,Single Family Home,In-State (Out of County)
1446.0,Single Family Home,In-State (Out of County)
2508.0,Single Family Home,In-State (Out of County)
1469.0,Apartment/Condo/Townhome,Out of State
2537.0,Single Family Home,In-County
2124.0,Single Family Home,Out of State
2794.0,Single Family Home,Out of State
3212.0,Single Family Home,Out of State
1763.0,Apartment/Condo/Townhome,In-County
1908.0,Apartment/Condo/Townhome,In-County
2873.0,Single Family Home,Out of State
3238.0,Single Family Home,Out of State
2297.0,Single Family Home,Out of State
2900.0,Single Family Home,In-State (Out of County)
4732.0,Single Family Home,In-State (Out of County)
3459.0,Single Family Home,Out of State
4725.0,Single Family Home,In-County
1888.0,Apartment/Condo/Townhome,In-County
1864.0,Apartment/Condo/Townhome,Out of State
1864.0,Apartment/Condo/Townhome,Out of State
1864.0,Apartment/Condo/Townhome,In-County
1864.0,Apartment/Condo/Townhome,Out of State
1888.0,Apartment/Condo/Townhome,In-State (Out of County)
1056.0,Apartment/Condo/Townhome,In-State (Out of County)
1584.0,Apartment/Condo/Townhome,In-County
1590.0,Apartment/Condo/Townhome,In-County
703.0,Apartment/Condo/Townhome,In-State (Out of County)
1504.0,Single Family Home,In-State (Out of County)
1270.0,Apartment/Condo/Townhome,In-State (Out of County)
1154.0,Apartment/Condo/Townhome,Out of State
1154.0,Apartment/Condo/Townhome,In-State (Out of County)
1498.0,Apartment/Condo/Townhome,Out of State
1498.0,Apartment/Condo/Townhome,In-State (Out of County)
1154.0,Apartment/Condo/Townhome,Out of State
1154.0,Apartment/Condo/Townhome,Out of State
1270.0,Apartment/Condo/Townhome,Out of State
1081.0,Apartment/Condo/Townhome,In-State (Out of County)
1059.0,Apartment/Condo/Townhome,In-State (Out of County)
1041.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
703.0,Apartment/Condo/Townhome,Out of State
4698.0,Single Family Home,Out of State
3688.0,Single Family Home,Out of State
2774.0,Apartment/Condo/Townhome,In-County
2774.0,Apartment/Condo/Townhome,In-State (Out of County)
2765.0,Apartment/Condo/Townhome,Out of State
2635.0,Apartment/Condo/Townhome,In-County
2645.0,Apartment/Condo/Townhome,Out of State
3066.0,Apartment/Condo/Townhome,Out of State
2987.0,Apartment/Condo/Townhome,In-State (Out of County)
3226.0,Apartment/Condo/Townhome,In-County
2781.0,Apartment/Condo/Townhome,In-State (Out of County)
2706.0,Apartment/Condo/Townhome,Out of State
2635.0,Apartment/Condo/Townhome,Out of State
2690.0,Apartment/Condo/Townhome,Out of State
6395.0,Single Family Home,Out of State
1784.0,Apartment/Condo/Townhome,Out of State
1459.0,Apartment/Condo/Townhome,In-State (Out of County)
1600.0,Apartment/Condo/Townhome,Out of State
1727.0,Apartment/Condo/Townhome,In-State (Out of County)
1448.0,Apartment/Condo/Townhome,Out of State
1634.0,Apartment/Condo/Townhome,In-State (Out of County)
1020.0,Apartment/Condo/Townhome,In-State (Out of County)
1020.0,Apartment/Condo/Townhome,In-State (Out of County)
1420.0,Apartment/Condo/Townhome,Out of State
1402.0,Apartment/Condo/Townhome,Out of State
2594.0,Single Family Home,Out of State
2374.0,Single Family Home,In-County
2718.0,Single Family Home,In-State (Out of County)
4876.0,Single Family Home,Out of State
2628.0,Single Family Home,In-County
2697.0,Single Family Home,Out of State
3927.0,Single Family Home,Out of State
4131.0,Single Family Home,In-County
3120.0,Single Family Home,In-State (Out of County)
3691.0,Single Family Home,In-County
4507.0,Single Family Home,Out of State
1680.0,Apartment/Condo/Townhome,In-State (Out of County)
2334.0,Apartment/Condo/Townhome,Out of State
2334.0,Apartment/Condo/Townhome,In-County
2334.0,Apartment/Condo/Townhome,In-State (Out of County)
2334.0,Apartment/Condo/Townhome,In-State (Out of County)
2334.0,Apartment/Condo/Townhome,In-State (Out of County)
2334.0,Apartment/Condo/Townhome,In-County
2157.0,Single Family Home,In-County
1039.0,Apartment/Condo/Townhome,In-State (Out of County)
2171.0,Apartment/Condo/Townhome,Out of State
2083.0,Apartment/Condo/Townhome,Out of State
5279.0,Single Family Home,Out of State
3218.0,Single Family Home,Out of State
1722.0,Apartment/Condo/Townhome,Out of State
1602.0,Apartment/Condo/Townhome,In-State (Out of County)
1469.0,Apartment/Condo/Townhome,In-State (Out of County)
548.0,Apartment/Condo/Townhome,In-State (Out of County)
2220.0,Apartment/Condo/Townhome,Out of State
2203.0,Apartment/Condo/Townhome,In-County
2203.0,Apartment/Condo/Townhome,Out of State
2220.0,Apartment/Condo/Townhome,Out of State
2220.0,Apartment/Condo/Townhome,In-State (Out of County)
2170.0,Apartment/Condo/Townhome,In-County
2170.0,Apartment/Condo/Townhome,In-State (Out of County)
2177.0,Apartment/Condo/Townhome,In-State (Out of County)
2232.0,Apartment/Condo/Townhome,In-County
2170.0,Apartment/Condo/Townhome,Out of State
1618.0,Apartment/Condo/Townhome,Out of State
1450.0,Apartment/Condo/Townhome,Out of State
1450.0,Apartment/Condo/Townhome,In-State (Out of County)
1618.0,Apartment/Condo/Townhome,In-State (Out of County)
2336.0,Apartment/Condo/Townhome,Out of State
2244.0,Apartment/Condo/Townhome,Out of State
1676.0,Apartment/Condo/Townhome,Out of State
1676.0,Apartment/Condo/Townhome,Out of State
1676.0,Apartment/Condo/Townhome,Out of State
1676.0,Apartment/Condo/Townhome,In-State (Out of County)
602.0,Apartment/Condo/Townhome,In-County
603.0,Apartment/Condo/Townhome,Out of State
603.0,Apartment/Condo/Townhome,In-State (Out of County)
602.0,Apartment/Condo/Townhome,In-County
602.0,Apartment/Condo/Townhome,In-State (Out of County)
602.0,Apartment/Condo/Townhome,In-County
601.0,Apartment/Condo/Townhome,In-County
603.0,Apartment/Condo/Townhome,In-County
603.0,Apartment/Condo/Townhome,In-County
2334.0,Single Family Home,In-County
1248.0,Single Family Home,Out of State
1120.0,Single Family Home,In-State (Out of County)
2556.0,Single Family Home,In-State (Out of County)
1058.0,Apartment/Condo/Townhome,Out of State
1168.0,Apartment/Condo/Townhome,Out of State
1680.0,Apartment/Condo/Townhome,Out of State
1064.0,Apartment/Condo/Townhome,In-State (Out of County)
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
743.4,Single Family Home,In-County
939.0,Apartment/Condo/Townhome,Out of State
1195.0,Apartment/Condo/Townhome,In-State (Out of County)
939.0,Apartment/Condo/Townhome,In-State (Out of County)
1195.0,Apartment/Condo/Townhome,Out of State
1068.0,Apartment/Condo/Townhome,In-State (Out of County)
1338.0,Apartment/Condo/Townhome,In-County
1068.0,Apartment/Condo/Townhome,Out of State
1338.0,Apartment/Condo/Townhome,In-State (Out of County)
1068.0,Apartment/Condo/Townhome,In-County
1338.0,Apartment/Condo/Townhome,Out of State
1068.0,Apartment/Condo/Townhome,In-State (Out of County)
1338.0,Apartment/Condo/Townhome,Out of State
939.0,Apartment/Condo/Townhome,Out of State
1195.0,Apartment/Condo/Townhome,In-State (Out of County)
939.0,Apartment/Condo/Townhome,Out of State
1195.0,Apartment/Condo/Townhome,In-State (Out of County)
1068.0,Apartment/Condo/Townhome,In-State (Out of County)
1338.0,Apartment/Condo/Townhome,Out of State
1068.0,Apartment/Condo/Townhome,Out of State
1338.0,Apartment/Condo/Townhome,In-State (Out of County)
1068.0,Apartment/Condo/Townhome,Out of State
1338.0,Apartment/Condo/Townhome,In-State (Out of County)
1068.0,Apartment/Condo/Townhome,In-County
1338.0,Apartment/Condo/Townhome,Out of State
3012.0,Apartment/Condo/Townhome,In-State (Out of County)
3024.0,Apartment/Condo/Townhome,Out of State
1740.0,Apartment/Condo/Townhome,In-County
1656.0,Apartment/Condo/Townhome,Out of State
7021.0,Single Family Home,In-State (Out of County)
5798.0,Single Family Home,Out of State
5062.0,Single Family Home,In-State (Out of County)
4384.0,Single Family Home,Out of State
5008.0,Single Family Home,In-County
5947.0,Single Family Home,Out of State
5113.0,Single Family Home,Out of State
3086.0,Single Family Home,In-State (Out of County)
3692.0,Single Family Home,In-County
3283.0,Single Family Home,In-State (Out of County)
3360.0,Single Family Home,Out of State
3988.0,Apartment/Condo/Townhome,Out of State
2239.0,Apartment/Condo/Townhome,In-County
3861.0,Apartment/Condo/Townhome,Out of State
2022.0,Apartment/Condo/Townhome,Out of State
2708.0,Apartment/Condo/Townhome,Out of State
2708.0,Apartment/Condo/Townhome,Out of State
2142.0,Apartment/Condo/Townhome,Out of State
2526.0,Apartment/Condo/Townhome,In-State (Out of County)
703.0,Apartment/Condo/Townhome,In-County
2643.0,Single Family Home,In-County
3527.0,Single Family Home,Out of State
2299.0,Single Family Home,In-County
3655.0,Single Family Home,In-County
3051.0,Apartment/Condo/Townhome,In-County
2877.0,Apartment/Condo/Townhome,Out of State
1094.0,Apartment/Condo/Townhome,In-State (Out of County)
1598.0,Apartment/Condo/Townhome,In-County
4957.0,Single Family Home,Out of State
5961.0,Single Family Home,Out of State
6948.0,Single Family Home,In-County
5818.0,Single Family Home,Out of State
5077.0,Single Family Home,In-County
4719.0,Single Family Home,In-County
6239.0,Single Family Home,Out of State
3720.0,Single Family Home,Out of State
4869.0,Single Family Home,Out of State
6130.0,Single Family Home,In-State (Out of County)
8986.0,Single Family Home,Out of State
7884.0,Single Family Home,Out of State
3456.0,Single Family Home,In-County
1882.0,Single Family Home,In-State (Out of County)
1429.0,Single Family Home,In-State (Out of County)
3126.0,Single Family Home,In-State (Out of County)
2512.0,Single Family Home,In-County
2350.0,Single Family Home,In-State (Out of County)
3296.0,Single Family Home,In-State (Out of County)
3964.0,Single Family Home,In-County
2396.0,Single Family Home,Out of State
2079.0,Single Family Home,In-County
5091.0,Single Family Home,Out of State
8290.0,Single Family Home,In-State (Out of County)
2324.0,Single Family Home,In-State (Out of County)
3878.0,Single Family Home,Out of State
4533.0,Single Family Home,Out of State
3869.0,Single Family Home,In-State (Out of County)
3897.0,Single Family Home,In-State (Out of County)
4090.0,Single Family Home,In-State (Out of County)
3395.0,Single Family Home,In-State (Out of County)
2170.0,Apartment/Condo/Townhome,In-State (Out of County)
2718.0,Single Family Home,In-State (Out of County)
2464.0,Single Family Home,In-County
1307.0,Apartment/Condo/Townhome,In-County
975.0,Apartment/Condo/Townhome,In-State (Out of County)
1143.0,Apartment/Condo/Townhome,In-State (Out of County)
3987.0,Single Family Home,Out of State
3063.0,Single Family Home,In-State (Out of County)
4246.0,Single Family Home,In-County
3349.0,Single Family Home,In-State (Out of County)
3612.0,Single Family Home,In-County
2947.0,Single Family Home,In-County
4256.0,Single Family Home,Out of State
5278.0,Single Family Home,In-State (Out of County)
4458.0,Single Family Home,Out of State
4519.0,Single Family Home,Out of State
3877.0,Single Family Home,In-State (Out of County)
4891.0,Single Family Home,Out of State
4539.0,Single Family Home,Out of State
6041.0,Single Family Home,Out of State
3924.0,Single Family Home,In-State (Out of County)
1578.0,Single Family Home,In-State (Out of County)
2539.0,Single Family Home,Out of State
2318.0,Single Family Home,Out of State
2099.0,Apartment/Condo/Townhome,In-County
2101.0,Apartment/Condo/Townhome,Out of State
2127.0,Single Family Home,In-State (Out of County)
2155.0,Single Family Home,In-State (Out of County)
2030.0,Apartment/Condo/Townhome,Out of State
2030.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,In-State (Out of County)
1877.0,Apartment/Condo/Townhome,In-County
648.0,Apartment/Condo/Townhome,In-State (Out of County)
953.0,Apartment/Condo/Townhome,In-County
758.0,Apartment/Condo/Townhome,In-County
794.0,Apartment/Condo/Townhome,In-County
552.0,Apartment/Condo/Townhome,In-County
647.0,Apartment/Condo/Townhome,In-County
637.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-State (Out of County)
917.0,Apartment/Condo/Townhome,In-County
1504.0,Apartment/Condo/Townhome,In-County
1315.0,Apartment/Condo/Townhome,In-State (Out of County)
952.0,Apartment/Condo/Townhome,In-County
791.0,Apartment/Condo/Townhome,In-County
2348.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,In-State (Out of County)
794.0,Apartment/Condo/Townhome,In-State (Out of County)
770.0,Apartment/Condo/Townhome,In-County
770.0,Apartment/Condo/Townhome,In-State (Out of County)
905.0,Apartment/Condo/Townhome,In-State (Out of County)
465.0,Apartment/Condo/Townhome,In-County
1877.0,Apartment/Condo/Townhome,Out of State
1877.0,Apartment/Condo/Townhome,In-State (Out of County)
2262.0,Apartment/Condo/Townhome,In-County
1877.0,Apartment/Condo/Townhome,In-State (Out of County)
952.0,Apartment/Condo/Townhome,In-State (Out of County)
952.0,Apartment/Condo/Townhome,In-County
1255.0,Apartment/Condo/Townhome,In-State (Out of County)
952.0,Apartment/Condo/Townhome,In-County
1255.0,Apartment/Condo/Townhome,In-County
952.0,Apartment/Condo/Townhome,In-County
952.0,Apartment/Condo/Townhome,In-State (Out of County)
952.0,Apartment/Condo/Townhome,In-County
1255.0,Apartment/Condo/Townhome,In-County
952.0,Apartment/Condo/Townhome,In-County
952.0,Apartment/Condo/Townhome,In-County
1315.0,Apartment/Condo/Townhome,Out of State
339.0,Apartment/Condo/Townhome,In-County
1877.0,Apartment/Condo/Townhome,In-State (Out of County)
1752.0,Apartment/Condo/Townhome,In-State (Out of County)
770.0,Apartment/Condo/Townhome,In-County
952.0,Apartment/Condo/Townhome,In-State (Out of County)
770.0,Apartment/Condo/Townhome,Out of State
1008.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,Out of State
791.0,Apartment/Condo/Townhome,In-State (Out of County)
770.0,Apartment/Condo/Townhome,In-State (Out of County)
1185.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-County
339.0,Apartment/Condo/Townhome,In-State (Out of County)
917.0,Apartment/Condo/Townhome,Out of State
917.0,Apartment/Condo/Townhome,Out of State
917.0,Apartment/Condo/Townhome,In-State (Out of County)
917.0,Apartment/Condo/Townhome,In-County
758.0,Apartment/Condo/Townhome,In-State (Out of County)
1008.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,Out of State
758.0,Apartment/Condo/Townhome,In-County
758.0,Apartment/Condo/Townhome,In-County
758.0,Apartment/Condo/Townhome,In-State (Out of County)
770.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,Out of State
770.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-State (Out of County)
793.0,Apartment/Condo/Townhome,In-State (Out of County)
438.0,Apartment/Condo/Townhome,Out of State
637.0,Apartment/Condo/Townhome,In-State (Out of County)
974.0,Apartment/Condo/Townhome,In-State (Out of County)
808.0,Apartment/Condo/Townhome,In-County
438.0,Apartment/Condo/Townhome,In-County
770.0,Apartment/Condo/Townhome,In-State (Out of County)
846.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,In-State (Out of County)
953.0,Apartment/Condo/Townhome,In-State (Out of County)
1424.0,Single Family Home,In-State (Out of County)
884.0,Apartment/Condo/Townhome,In-State (Out of County)
2262.0,Apartment/Condo/Townhome,Out of State
758.0,Apartment/Condo/Townhome,In-County
770.0,Apartment/Condo/Townhome,In-State (Out of County)
569.0,Apartment/Condo/Townhome,In-State (Out of County)
438.0,Apartment/Condo/Townhome,Out of State
758.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,Out of State
917.0,Apartment/Condo/Townhome,In-State (Out of County)
569.0,Apartment/Condo/Townhome,In-State (Out of County)
770.0,Apartment/Condo/Townhome,In-State (Out of County)
1834.0,Apartment/Condo/Townhome,In-County
339.0,Apartment/Condo/Townhome,In-State (Out of County)
339.0,Apartment/Condo/Townhome,In-State (Out of County)
758.0,Apartment/Condo/Townhome,Out of State
758.0,Apartment/Condo/Townhome,In-County
770.0,Apartment/Condo/Townhome,Out of State
637.0,Apartment/Condo/Townhome,Out of State
628.0,Apartment/Condo/Townhome,In-State (Out of County)
952.0,Apartment/Condo/Townhome,In-County
569.0,Apartment/Condo/Townhome,Out of State
636.0,Apartment/Condo/Townhome,In-County
952.0,Apartment/Condo/Townhome,In-State (Out of County)
974.0,Apartment/Condo/Townhome,In-County
955.0,Apartment/Condo/Townhome,In-State (Out of County)
1030.0,Apartment/Condo/Townhome,In-State (Out of County)
552.0,Apartment/Condo/Townhome,In-State (Out of County)
2262.0,Apartment/Condo/Townhome,Out of State
817.0,Apartment/Condo/Townhome,In-State (Out of County)
2262.0,Apartment/Condo/Townhome,In-State (Out of County)
465.0,Apartment/Condo/Townhome,In-State (Out of County)
770.0,Apartment/Condo/Townhome,Out of State
846.0,Apartment/Condo/Townhome,In-County
