sfla,BuildingType,LocationType
1424.0,Single Family Home,Out of State
3931.0,Single Family Home,In-State (Out of County)
1637.0,Single Family Home,In-State (Out of County)
1700.0,Single Family Home,In-County
1836.0,Single Family Home,In-State (Out of County)
2154.0,Single Family Home,Out of State
2662.0,Single Family Home,Out of State
2575.0,Single Family Home,In-State (Out of County)
2868.0,Single Family Home,Out of State
2321.0,Single Family Home,In-County
1764.0,Single Family Home,In-County
1023.0,Single Family Home,In-State (Out of County)
844.0,Single Family Home,In-County
2582.0,Single Family Home,In-State (Out of County)
3441.0,Single Family Home,In-State (Out of County)
1664.0,Single Family Home,Out of State
2616.0,Single Family Home,In-County
39204.0,Apartment/Condo/Townhome,In-County
864.0,Single Family Home,In-State (Out of County)
2016.0,Single Family Home,In-State (Out of County)
670.0,Single Family Home,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-County
2644.0,Single Family Home,In-State (Out of County)
2050.0,Single Family Home,Out of State
910.0,Single Family Home,Out of State
3101.0,Single Family Home,In-State (Out of County)
1778.0,Single Family Home,Out of State
1586.0,Single Family Home,In-County
1204.0,Single Family Home,In-County
2253.0,Single Family Home,Out of State
2754.0,Single Family Home,Out of State
1714.0,Single Family Home,In-State (Out of County)
1897.0,Single Family Home,In-State (Out of County)
3220.0,Single Family Home,Out of State
816.0,Single Family Home,Out of State
507.0,Single Family Home,In-State (Out of County)
2423.0,Single Family Home,In-State (Out of County)
1887.0,Single Family Home,In-State (Out of County)
1120.0,Single Family Home,In-State (Out of County)
1620.0,Single Family Home,In-State (Out of County)
2070.0,Single Family Home,In-State (Out of County)
2678.0,Single Family Home,Out of State
836.0,Single Family Home,In-State (Out of County)
2480.0,Single Family Home,Out of State
2096.0,Single Family Home,In-State (Out of County)
4720.0,Single Family Home,In-County
1560.0,Single Family Home,In-State (Out of County)
2446.0,Single Family Home,Out of State
1855.0,Single Family Home,Out of State
1748.0,Single Family Home,In-County
1022.0,Single Family Home,In-County
5948.0,Single Family Home,In-State (Out of County)
936.0,Single Family Home,In-County
2798.0,Single Family Home,Out of State
836.0,Single Family Home,In-State (Out of County)
1653.0,Single Family Home,In-County
1937.0,Single Family Home,In-County
2812.0,Single Family Home,In-State (Out of County)
3353.0,Single Family Home,In-State (Out of County)
4443.0,Single Family Home,Out of State
1586.0,Single Family Home,In-State (Out of County)
2250.0,Single Family Home,Out of State
2709.0,Single Family Home,Out of State
2836.0,Single Family Home,In-State (Out of County)
2392.0,Single Family Home,In-State (Out of County)
2451.0,Single Family Home,Out of State
2605.0,Single Family Home,Out of State
847.0,Single Family Home,In-State (Out of County)
700.0,Apartment/Condo/Townhome,In-State (Out of County)
850.0,Apartment/Condo/Townhome,In-County
2531.0,Single Family Home,In-County
1080.0,Single Family Home,In-County
1476.0,Single Family Home,In-County
2417.0,Single Family Home,Out of State
2904.0,Single Family Home,In-County
2053.0,Single Family Home,In-County
1994.0,Single Family Home,Out of State
1838.0,Single Family Home,Out of State
2387.0,Single Family Home,In-County
2208.0,Single Family Home,In-State (Out of County)
2568.0,Single Family Home,In-State (Out of County)
1787.0,Single Family Home,In-State (Out of County)
840.0,Single Family Home,In-State (Out of County)
1708.0,Single Family Home,Out of State
1312.0,Single Family Home,In-County
1359.0,Apartment/Condo/Townhome,In-County
2776.0,Single Family Home,Out of State
3845.0,Single Family Home,In-State (Out of County)
3039.0,Single Family Home,Out of State
1931.0,Single Family Home,In-County
924.0,Single Family Home,In-County
1178.0,Single Family Home,In-State (Out of County)
1120.0,Single Family Home,In-State (Out of County)
1046.0,Apartment/Condo/Townhome,In-County
1296.0,Single Family Home,Out of State
1754.0,Single Family Home,In-State (Out of County)
2309.0,Single Family Home,In-State (Out of County)
1630.0,Single Family Home,Out of State
2098.0,Single Family Home,In-County
1592.0,Single Family Home,In-State (Out of County)
3581.0,Single Family Home,In-County
1276.0,Single Family Home,In-State (Out of County)
2063.0,Single Family Home,In-County
1606.0,Single Family Home,Out of State
2233.0,Single Family Home,Out of State
2890.0,Single Family Home,In-State (Out of County)
1176.0,Single Family Home,Out of State
1320.0,Single Family Home,In-County
2592.0,Single Family Home,In-State (Out of County)
2498.0,Single Family Home,In-County
1856.0,Single Family Home,In-County
560.0,Single Family Home,Out of State
2413.0,Single Family Home,In-County
1565.0,Single Family Home,In-County
2513.0,Single Family Home,Out of State
850.0,Apartment/Condo/Townhome,Out of State
1396.0,Single Family Home,In-State (Out of County)
3827.0,Single Family Home,Out of State
1334.0,Single Family Home,In-State (Out of County)
2910.0,Single Family Home,In-State (Out of County)
2640.0,Single Family Home,Out of State
1392.0,Single Family Home,Out of State
2221.0,Single Family Home,Out of State
3441.0,Single Family Home,In-State (Out of County)
2134.0,Single Family Home,In-County
812.0,Single Family Home,In-State (Out of County)
3144.0,Single Family Home,In-State (Out of County)
1420.0,Single Family Home,In-County
720.0,Single Family Home,In-State (Out of County)
1888.0,Single Family Home,In-State (Out of County)
2869.0,Single Family Home,In-County
1583.0,Single Family Home,In-County
982.0,Single Family Home,In-State (Out of County)
4275.0,Single Family Home,Out of State
3408.0,Single Family Home,Out of State
1280.0,Single Family Home,Out of State
1056.0,Single Family Home,In-County
2818.0,Single Family Home,In-County
2006.0,Single Family Home,In-County
2579.0,Single Family Home,In-State (Out of County)
2304.0,Single Family Home,In-State (Out of County)
3414.0,Single Family Home,In-County
1912.0,Single Family Home,In-County
2068.0,Single Family Home,In-County
2124.0,Single Family Home,In-County
850.0,Apartment/Condo/Townhome,In-County
2621.0,Single Family Home,In-State (Out of County)
2310.0,Single Family Home,In-State (Out of County)
2500.0,Single Family Home,In-State (Out of County)
2192.0,Single Family Home,Out of State
1615.0,Single Family Home,In-State (Out of County)
1336.0,Single Family Home,In-State (Out of County)
2212.0,Single Family Home,In-State (Out of County)
1430.0,Single Family Home,In-County
700.0,Apartment/Condo/Townhome,In-State (Out of County)
1612.0,Single Family Home,In-State (Out of County)
1176.0,Single Family Home,In-County
2044.0,Single Family Home,In-County
2831.0,Single Family Home,In-County
2175.0,Single Family Home,In-County
2390.0,Single Family Home,Out of State
2824.0,Single Family Home,Out of State
1553.0,Single Family Home,Out of State
1700.0,Single Family Home,In-State (Out of County)
2603.0,Single Family Home,Out of State
2126.0,Single Family Home,In-County
1920.0,Single Family Home,In-State (Out of County)
2872.0,Single Family Home,In-County
1222.0,Single Family Home,Out of State
1004.0,Single Family Home,In-County
961.0,Single Family Home,In-State (Out of County)
2062.0,Single Family Home,In-County
1288.0,Single Family Home,In-State (Out of County)
2434.0,Single Family Home,Out of State
1284.0,Single Family Home,Out of State
5313.0,Single Family Home,Out of State
2100.0,Single Family Home,Out of State
936.0,Single Family Home,In-County
850.0,Apartment/Condo/Townhome,Out of State
700.0,Apartment/Condo/Townhome,In-State (Out of County)
1472.0,Single Family Home,In-County
1222.0,Apartment/Condo/Townhome,Out of State
996.0,Single Family Home,Out of State
4163.0,Single Family Home,Out of State
1204.0,Single Family Home,In-State (Out of County)
1560.0,Single Family Home,In-County
1440.0,Single Family Home,In-State (Out of County)
2084.0,Single Family Home,Out of State
1530.0,Single Family Home,In-State (Out of County)
2569.0,Single Family Home,In-County
1438.0,Single Family Home,In-County
2280.0,Single Family Home,In-State (Out of County)
904.0,Single Family Home,In-County
676.0,Single Family Home,In-State (Out of County)
1320.0,Apartment/Condo/Townhome,In-County
3124.0,Single Family Home,Out of State
3471.0,Single Family Home,In-State (Out of County)
2383.0,Single Family Home,In-County
3332.0,Single Family Home,Out of State
2112.0,Single Family Home,Out of State
1200.0,Single Family Home,In-State (Out of County)
1631.0,Single Family Home,In-State (Out of County)
3999.0,Single Family Home,In-State (Out of County)
4201.0,Single Family Home,Out of State
3156.0,Single Family Home,In-State (Out of County)
1758.0,Single Family Home,In-County
2112.0,Single Family Home,In-State (Out of County)
1092.0,Single Family Home,In-County
1968.0,Single Family Home,Out of State
1200.0,Single Family Home,In-County
2553.0,Single Family Home,In-County
850.0,Apartment/Condo/Townhome,In-State (Out of County)
3543.0,Single Family Home,Out of State
1128.0,Single Family Home,In-County
1848.0,Single Family Home,In-State (Out of County)
768.0,Single Family Home,In-State (Out of County)
3344.0,Single Family Home,Out of State
1188.0,Single Family Home,In-State (Out of County)
484.0,Single Family Home,In-State (Out of County)
1335.0,Single Family Home,Out of State
1382.0,Single Family Home,In-State (Out of County)
2323.0,Single Family Home,Out of State
1160.0,Single Family Home,In-State (Out of County)
2664.0,Single Family Home,In-County
2464.0,Single Family Home,In-County
2584.0,Single Family Home,Out of State
2528.0,Single Family Home,In-State (Out of County)
1629.0,Single Family Home,In-State (Out of County)
2904.0,Single Family Home,In-County
3280.0,Single Family Home,In-County
3147.0,Single Family Home,Out of State
3449.0,Single Family Home,In-State (Out of County)
700.0,Apartment/Condo/Townhome,In-County
2913.0,Single Family Home,Out of State
2805.0,Single Family Home,In-County
2404.0,Single Family Home,In-County
2821.0,Single Family Home,In-County
2553.0,Single Family Home,In-County
2781.0,Single Family Home,Out of State
1747.0,Single Family Home,In-State (Out of County)
940.0,Single Family Home,In-County
940.0,Single Family Home,In-State (Out of County)
2268.0,Single Family Home,Out of State
1224.0,Single Family Home,In-County
1873.0,Single Family Home,In-State (Out of County)
2934.0,Single Family Home,Out of State
2238.0,Single Family Home,In-County
1157.0,Single Family Home,In-County
1316.0,Single Family Home,In-State (Out of County)
2288.0,Single Family Home,In-State (Out of County)
1106.0,Apartment/Condo/Townhome,In-County
850.0,Apartment/Condo/Townhome,In-County
2676.0,Single Family Home,In-County
3097.0,Single Family Home,Out of State
1698.0,Single Family Home,In-State (Out of County)
4134.0,Single Family Home,In-State (Out of County)
1356.0,Single Family Home,Out of State
3182.0,Single Family Home,In-County
1348.0,Single Family Home,In-State (Out of County)
1716.0,Single Family Home,In-State (Out of County)
1056.0,Single Family Home,In-State (Out of County)
1704.0,Apartment/Condo/Townhome,In-State (Out of County)
2563.0,Single Family Home,In-County
1152.0,Single Family Home,Out of State
2268.0,Single Family Home,Out of State
1454.0,Single Family Home,In-County
1269.0,Single Family Home,In-County
2341.0,Single Family Home,In-State (Out of County)
1811.0,Single Family Home,In-County
832.0,Single Family Home,In-County
3269.0,Single Family Home,In-State (Out of County)
3518.0,Single Family Home,In-State (Out of County)
2288.0,Single Family Home,In-County
962.0,Single Family Home,In-County
3438.0,Single Family Home,Out of State
1600.0,Single Family Home,In-County
5348.0,Single Family Home,Out of State
1290.0,Single Family Home,In-County
1154.0,Single Family Home,Out of State
3711.0,Single Family Home,Out of State
700.0,Apartment/Condo/Townhome,In-State (Out of County)
1832.0,Single Family Home,Out of State
3331.0,Single Family Home,In-State (Out of County)
1739.0,Single Family Home,In-State (Out of County)
3557.0,Single Family Home,Out of State
1390.0,Single Family Home,In-County
2007.0,Single Family Home,In-County
1810.0,Single Family Home,In-County
4058.0,Single Family Home,Out of State
1504.0,Single Family Home,In-State (Out of County)
1654.0,Single Family Home,In-County
2608.0,Single Family Home,In-County
1548.0,Single Family Home,In-County
1234.0,Single Family Home,In-State (Out of County)
2074.0,Single Family Home,In-County
1867.0,Single Family Home,In-County
2351.0,Single Family Home,In-County
2602.0,Single Family Home,In-State (Out of County)
2768.0,Single Family Home,Out of State
2503.0,Single Family Home,In-State (Out of County)
2232.0,Single Family Home,In-State (Out of County)
6375.0,Single Family Home,Out of State
4814.0,Single Family Home,In-State (Out of County)
5403.0,Single Family Home,Out of State
3956.0,Single Family Home,Out of State
5865.0,Single Family Home,In-County
7771.0,Single Family Home,Out of State
5505.0,Single Family Home,Out of State
9413.0,Single Family Home,In-State (Out of County)
7869.0,Single Family Home,Out of State
4151.0,Single Family Home,In-County
6270.0,Single Family Home,In-State (Out of County)
5544.0,Single Family Home,Out of State
3808.0,Single Family Home,In-State (Out of County)
